Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Company Structure,Title of person you report to?,Compensation Currency,Base-Converted,Bonus-Converted,Equity-Converted,Total Comp-Converted,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Chief Information Officer,CIO,Male,"Austin, TX, USA",Austin,North America,36,No,< 250 employees,Telecommunications,Non-Profit,CEO,USD (U.S. Dollar),315000,,,315000,"AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Security Operations,Third Party Risk Management (TPRM)",1,Per request,No,,,No,Neither,No,Yes,Yes,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,Third-party/vendor AI risk management,Developing but inconsistent,0,Defining clear accountability/ownership for AI risk across the business,"Integration with critical systems creating attack vectors,Regulatory compliance violations",EU AI Act requirements (compliance-driven),"Identity/credential theft,Other,Ransomware,Third party risk attacks",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Uncertainty in defining the right skills and profile for the role",Already have a dedicated AI Security leader in place,Synthetic,CIO,SANS Institute
Chief Information Officer,CIO,Male,"New York, NY, USA",NYC Metro,North America,24,Yes,"5000 - 9,999 employees",Real Estate,Non-Profit,Chief Information Officer,USD (U.S. Dollar),245000,"$37,000",,282000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Corp IT Security / Enterprise Security,GRC,Incident Response,Physical Security / Executive Protection,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",5,At least quarterly,No,,,Yes,Neither,No,Yes,Yes,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Other,Established and repeatable,0,Managing third-party/vendor AI risk,"Dependency on AI vendors with unclear security practices,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Mobile / BYOD threats,Third party risk attacks",Not confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Cleveland Clinic
Chief Information Officer,CIO,Male,"Chicago, IL, USA",Chicago,North America,15,No,"25,000+ employees",Banking / Financial Services,Non-Profit,Chief Financial Officer,USD (U.S. Dollar),440000,"$33,000",,473000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",145,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,5,Shadow AI,"Intellectual property theft through AI platforms,Regulatory compliance violations",Other,"AI-enhanced attacks,Phishing/social engineering,Third party risk attacks",Somewhat confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",No,Synthetic,CIO,Johns Hopkins Medicine
Chief Information Officer,CIO,Male,"Philadelphia, PA, USA",Philadelphia,North America,52,Yes,< 250 employees,Enterprise Software,Non-Profit,CEO,USD (U.S. Dollar),260000,"$105,000",,365000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",1,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,Yes,Yes,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,3,Shadow AI,"AI-generated content being used in social engineering attacks,Dependency on AI vendors with unclear security practices,Regulatory compliance violations,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Insider threats,Ransomware",Not confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",I am the AI Security leader,Synthetic,CIO,ISACA
Chief Information Officer,CIO,Male,"Chicago, IL, USA",Chicago,North America,8,No,< 250 employees,Internet,Non-Profit,CEO,USD (U.S. Dollar),190000,"$105,000",,295000,"AI Data Protection / Privacy and Security,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Post-Quantum Cryptography (PQC),Security Operations,Third Party Risk Management (TPRM),Trust & Safety",4,At least annually,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Percentage of company revenue",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,3,Defining clear accountability/ownership for AI risk across the business,"Dependency on AI vendors with unclear security practices,Regulatory compliance violations",ISO/IEC 23894 (AI Risk Management),"Cloud misconfigurations,Phishing/social engineering,Third party risk attacks",Don't Know / Not applicable,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Smithsonian Institution
CIO,CIO,Male,"Los Angeles, CA, USA",Los Angeles,North America,82,No,500 - 999 employees,Education,Non-Profit,COO / President,USD (U.S. Dollar),275000,,,275000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Security Operations",35,I do not report to the Board of Directors,No,,,No,Neither,No,No,No,,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,Monitoring and detection for AI-driven threats,Established and repeatable,2,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",None at this time,"Phishing/social engineering,Ransomware",Not confident,"Competing with salary expectations in the market,Uncertainty in defining the right skills and profile for the role",No,Actual,CIO,
CIO,CIO,Male,Los Angeles,Los Angeles,North America,82,No,500 - 999 employees,Education,Non-Profit,COO / President,USD (U.S. Dollar),260000,,,260000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations",35,I do not report to the Board of Directors,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Attack Surface / Risk Assessment",Yes,Third-party/vendor AI risk management,Established and repeatable,5,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",None at this time,"Ransomware,Phishing/social engineering",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Competing with salary expectations in the market",No,Actual,CIO,
CIO,CIO,Male,"Denver, CO, USA",Denver,North America,116,No,250 - 499 employees,Healthcare,Non-Profit,CEO,USD (U.S. Dollar),245000,"$29,000",,274000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Cloud Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",13,At least quarterly,No,,,Yes,Neither,No,Yes,No,No,"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",Yes,Third-party/vendor AI risk management,Developing but inconsistent,10,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",Other,"Cloud misconfigurations,Phishing/social engineering,Third party risk attacks",Somewhat confident,"Competing with salary expectations in the market,Uncertainty in defining the right skills and profile for the role",Yes,Synthetic,CIO,NYU
CIO,CIO,Male,"Annapolis/MD, USA",Annapolis/MD,North America,20,No,"10,000 - 25,000 employees",Insurance,Non-Profit,Chief Information Officer,USD (U.S. Dollar),300000,"$71,000",,371000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",93,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,3,Shadow AI,Data exposure/privacy breaches,EU AI Act requirements (compliance-driven),"Insider threats,Ransomware",Not confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",No,Synthetic,CIO,Center for Internet Security
CIO,CIO,Male,"New York, NY, USA",NYC Metro,North America,5,Yes,< 250 employees,Banking / Financial Services,Non-Profit,CEO,USD (U.S. Dollar),320000,"$42,000",,362000,"AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Post-Quantum Cryptography (PQC),Privacy",5,At least quarterly,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",Yes,Third-party/vendor AI risk management,Developing but inconsistent,1,Shadow AI,"Data exposure/privacy breaches,Regulatory compliance violations","NIST AI Risk Management Framework (AI RMF),Other","Cloud misconfigurations,Identity/credential theft,Insider threats,Phishing/social engineering",Somewhat confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",Yes,Synthetic,CIO,Catholic Charities
CIO,CIO,Female,"Roanoke, USA",Roanoke,North America,49,No,"25,000+ employees",Healthcare,Non-Profit,Chief Information Officer,USD (U.S. Dollar),395000,"$52,000",,447000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",12,At least annually,No,,,No,Neither,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,5,Establishing regulatory compliance and auditability for AI systems,"Regulatory compliance violations,Shadow AI usage bypassing security controls",Internal / proprietary AI risk framework,"AI-enhanced attacks,Insider threats,Ransomware,Third party risk attacks,Zero-day exploits",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",Already have a dedicated AI Security leader in place,Synthetic,CIO,University of Michigan
CIO/CISO,CIO,Male,New York,NYC Metro,North America,192,No,< 250 employees,BioTech,Non-Profit,COO / President,USD (U.S. Dollar),270000,,,270000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Privacy,Security Operations,Third Party Risk Management (TPRM)",1,At least semi-annually,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Attack Surface / Risk Assessment",No,Workforce training and upskilling on AI risks,Developing but inconsistent,8,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Intellectual property theft through AI platforms",NIST AI Risk Management Framework (AI RMF),"Insider threats,AI-enhanced attacks,Phishing/social engineering",Don't Know / Not applicable,Other,I am the AI Security leader,Actual,CISO,
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,10,No,1000 - 4999 employees,Education,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),400500,"$147,000",,547500,"AI Data Protection / Privacy and Security,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Third Party Risk Management (TPRM)",99,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,25,Establishing regulatory compliance and auditability for AI systems,"Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms",NIST AI Risk Management Framework (AI RMF),"Insider threats,IoT/OT device vulnerabilities",Somewhat confident,"Location (RTO) constraints limiting hiring,Other",Yes,Synthetic,CIO,Gong
Chief Information Officer,CIO,Male,"Denver, CO, USA",Denver,North America,24,Yes,250 - 499 employees,Leisure / Hospitality,Privately Held Company,CEO,USD (U.S. Dollar),425000,"$59,000","$351,000",835000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Threat Intelligence and Incident Response,Cloud Security,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",18,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,20,Shadow AI,"AI-generated content being used in social engineering attacks,Shadow AI usage bypassing security controls","EU AI Act requirements (compliance-driven),Internal / proprietary AI risk framework","API security,Cloud misconfigurations",Not confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",No,Synthetic,CIO,Arctic Wolf
