Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Company Structure,Title of person you report to?,Compensation Currency,Base-Converted,Bonus-Converted,Equity-Converted,Total Comp-Converted,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Chief Information Officer,CIO,Male,"Dallas, TX, USA",Dallas,North America,63,No,< 250 employees,Insurance,Privately Held Company,CEO,USD (U.S. Dollar),"$402,634",,"$518,199","$920,833","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",14,At least quarterly,Yes,"$10,000","$10,000",No,Not Sure,No,No,No,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Established and repeatable,8,Aligning AI security with enterprise risk management frameworks,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches","Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF),Other","AI-enhanced attacks,Identity/credential theft,Insider threats,Ransomware",Not confident,"Location (RTO) constraints limiting hiring,Time spent screening unqualified candidates",No,Synthetic,CIO,At-Bay
Chief Information Officer,CIO,Male,"Las Vegas, NV, USA",Las Vegas,North America,29,Yes,< 250 employees,Banking / Financial Services,Privately Held Company,CEO,USD (U.S. Dollar),"$400,000",$0,"$774,905","$1,174,905","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Security Operations,Trust & Safety",4,Per request,Yes,"$65,000","$65,000",No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",Yes,No,Yes,No,"Attack Surface / Risk Assessment,Percentage of company revenue",No,Third-party/vendor AI risk management,Initial / ad hoc efforts,5,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF),None at this time","Cloud misconfigurations,Identity/credential theft,Insider threats,IoT/OT device vulnerabilities",Not confident,"Location (RTO) constraints limiting hiring,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Synthetic,CIO,Devo
CIO,CIO,Male,"Hudson, USA",Hudson,North America,135,No,< 250 employees,Healthcare,Privately Held Company,CEO,USD (U.S. Dollar),"$400,000",$0,"$791,501","$1,191,501","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Third Party Risk Management (TPRM)",2,Per request,No,,,No,Corporate Directors & Officers (D&O) Policy,Yes,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact",Yes,Monitoring and detection for AI-driven threats,No capability in place,5,Managing third-party/vendor AI risk,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches",None at this time,"Cloud misconfigurations,Phishing/social engineering,Third party risk attacks",Somewhat confident,"Competing with salary expectations in the market,Lack of alignment on the role requirements,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Bugcrowd
Chief Information Officer,CIO,Male,"Charlotte, NC, USA",Charlotte,North America,63,No,< 250 employees,Utilities,Publicly Traded Company,CEO,USD (U.S. Dollar),"$400,000","$78,096","$952,051","$1,430,147","AI Data Protection / Privacy and Security,AI Safety & Reliability,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Security Operations,Third Party Risk Management (TPRM)",8,At least annually,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Shadow AI,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"API security,Cloud misconfigurations",Somewhat confident,"Time spent screening unqualified candidates,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CIO,General Mills
CIO,CIO,Male,"Los Angeles, CA, USA",Los Angeles,North America,15,Yes,< 250 employees,Education,Publicly Traded Company,CEO,USD (U.S. Dollar),"$402,634","$78,096","$1,071,055","$1,551,785","AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Privacy,Security Operations",17,At least quarterly,No,,,Yes,"Corporate Directors & Officers (D&O) Policy, Corporate Indemnification Policy",No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Other",No,Workforce training and upskilling on AI risks,Developing but inconsistent,15,Defining clear accountability/ownership for AI risk across the business,"AI decision-making in security tools creating blind spots,Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms",ISO/IEC 23894 (AI Risk Management),"Cloud misconfigurations,Insider threats,Ransomware",Not confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",No,Synthetic,CIO,Intel
CIO,CIO,Male,"Los Angeles, CA, USA",Los Angeles,North America,43,No,< 250 employees,Education,Publicly Traded Company,CEO,USD (U.S. Dollar),"$402,634","$78,096","$635,408","$1,116,138","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Safety & Reliability,Identity & Access Management / IAM,Incident Response,Other,Post-Quantum Cryptography (PQC),Security Operations,Third Party Risk Management (TPRM)",1,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,Yes,No,No,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",Yes,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,4,Defining clear accountability/ownership for AI risk across the business,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Intellectual property theft through AI platforms,Shadow AI usage bypassing security controls","Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,Cloud misconfigurations,Phishing/social engineering,Ransomware,Third party risk attacks",Very confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",Already have a dedicated AI Security leader in place,Synthetic,CIO,Palo Alto Networks
CIO & CISO,CIO,Male,New York/NY/USA,NYC Metro,North America,120,Yes,< 250 employees,Financial Services,Publicly Traded Company,COO / President,USD (U.S. Dollar),"$450,000",$0,"$1,074,913","$1,524,913","AI Data Protection / Privacy and Security,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Security Operations,Third Party Risk Management (TPRM)",30,At least semi-annually,No,,,No,"Corporate Indemnification Policy,Corporate Directors & Officers (D&O) Policy",No,Yes,Yes,No,"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics,Percentage of company revenue,Attack Surface / Risk Assessment",No,Third-party/vendor AI risk management,Initial / ad hoc efforts,1,Shadow AI,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls,AI-generated content being used in social engineering attacks,Regulatory compliance violations",ISO/IEC 23894 (AI Risk Management),"Cloud misconfigurations,Identity/credential theft,Insider threats,Mobile / BYOD threats,Phishing/social engineering,Ransomware,Third party risk attacks,Zero-day exploits",Somewhat confident,"Time spent screening unqualified candidates,Risk of hiring someone who looks good on paper but lacks depth",No,Actual,CISO,
Chief Information Officer,CIO,Male,"Boston, MA, USA",Boston,North America,55,No,"10,000 - 25,000 employees",Professional Services,Non-Profit,Chief Information Officer,USD (U.S. Dollar),"$402,634","$85,166",,"$487,800","AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Third Party Risk Management (TPRM)",17,Per request,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),Business Impact,Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,5,Aligning AI security with enterprise risk management frameworks,"AI-generated content being used in social engineering attacks,Data exposure/privacy breaches",ISO/IEC 23894 (AI Risk Management),"Cloud misconfigurations,Identity/credential theft,Phishing/social engineering,Third party risk attacks",Very confident,Location (RTO) constraints limiting hiring,No,Synthetic,CIO,NYU
CIO,CIO,Male,"Annapolis/MD, USA",Annapolis/MD,North America,20,No,"10,000 - 25,000 employees",Insurance,Non-Profit,Chief Information Officer,USD (U.S. Dollar),"$450,000","$178,974",,"$628,974","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",93,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,3,Shadow AI,Data exposure/privacy breaches,EU AI Act requirements (compliance-driven),"Insider threats,Ransomware",Not confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",No,Synthetic,CIO,Center for Internet Security
Chief Information Officer,CIO,Male,"Los Angeles, CA, USA",Los Angeles,North America,14,Yes,"10,000 - 25,000 employees",Artificial Intelligence (AI),Privately Held Company,Chief Information Officer,USD (U.S. Dollar),"$637,239","$343,544","$1,032,000","$2,012,783","AI Data Protection / Privacy and Security,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",31,At least annually,Yes,"$140,000","$140,000",No,Corporate Indemnification Policy,No,No,No,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,0,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,Insider threats",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,CIO,Rippling
Chief Information Officer,CIO,Female,"Washington, DC, USA",DMV,North America,48,No,"10,000 - 25,000 employees",Manufacturing,Privately Held Company,General Counsel / Chief Legal Officer,USD (U.S. Dollar),"$557,051",$0,"$810,363","$1,367,414","AI Data Protection / Privacy and Security,AI Safety & Reliability,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",70,At least quarterly,No,,,Yes,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Developing but inconsistent,3,Establishing regulatory compliance and auditability for AI systems,"AI-generated content being used in social engineering attacks,Data exposure/privacy breaches",EU AI Act requirements (compliance-driven),"IoT/OT device vulnerabilities,Mobile / BYOD threats,Third party risk attacks",Very confident,Time spent screening unqualified candidates,Already have a dedicated AI Security leader in place,Synthetic,CIO,ThreatConnect
Chief Information Officer,CIO,Male,Remote,Remote,North America,60,Yes,"10,000 - 25,000 employees",Manufacturing,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),"$574,348",$0,"$331,726","$906,074","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",53,At least semi-annually,No,,,No,Neither,Yes,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Developing but inconsistent,5,Shadow AI,Integration with critical systems creating attack vectors,OECD AI Principles / other international guidelines,"Cloud misconfigurations,Third party risk attacks",Not confident,Location (RTO) constraints limiting hiring,No,Synthetic,CIO,Medidata
Chief Information Officer,CIO,Male,"Greensboro, NC, USA",Greensboro,North America,66,No,"10,000 - 25,000 employees",FinTech,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),"$653,111","$120,659","$541,508","$1,315,278","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Security Operations,Third Party Risk Management (TPRM)",6,At least semi-annually,No,,,No,Neither,No,No,No,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Other",Yes,Workforce training and upskilling on AI risks,Developing but inconsistent,0,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Shadow AI usage bypassing security controls","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","API security,Third party risk attacks",Very confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Synthetic,CIO,LogRhythm
Chief Information Officer,CIO,Male,"Nashville, TN, USA",Nashville,North America,4,Yes,"10,000 - 25,000 employees",Education,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),"$574,348","$116,641","$180,678","$871,667","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Third Party Risk Management (TPRM)",288,At least quarterly,No,,,No,Neither,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Established and repeatable,10,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Regulatory compliance violations,Shadow AI usage bypassing security controls","NIST AI Risk Management Framework (AI RMF),OECD AI Principles / other international guidelines","Identity/credential theft,Insider threats,Ransomware,Third party risk attacks,Zero-day exploits",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Synthetic,CIO,Outreach
